"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 UN4)","2022-Oct-05 14:12 ±    00:02","3073404","3063172","4.94","4.91","26.3","15 m -   33 m","0"
"(2022 TU1)","2022-Oct-05 19:20 ± < 00:01","464325","463107","14.13","14.07","27.8","7.4 m -   16 m","0"
"(2022 TD)","2022-Oct-06 03:53 ± < 00:01","372224","371932","10.11","10.00","27.8","7.4 m -   17 m","0"
"(2022 TB1)","2022-Oct-06 05:20 ± < 00:01","4403502","4389052","7.53","7.51","25.1","25 m -   55 m","0"
"(2022 TC1)","2022-Oct-06 09:22 ± < 00:01","4747880","4718683","22.60","22.60","24.6","33 m -   73 m","0"
"(2022 TC2)","2022-Oct-07 04:25 ±    00:06","2737274","2719419","4.01","3.98","27.8","7.5 m -   17 m","0"
"(2013 TJ6)","2022-Oct-07 19:47 ± 8_09:52","4488935","4475051","14.37","14.36","25.2","24 m -   54 m","0"
"(2022 UB7)","2022-Oct-07 21:19 ± < 00:01","4463079","4448191","11.60","11.60","24.1","41 m -   92 m","0"
"(2022 UN6)","2022-Oct-08 02:02 ±    00:12","2940316","2913549","8.10","8.09","25.4","22 m -   48 m","0"
"(2022 UW9)","2022-Oct-08 07:39 ±    00:04","5605730","5564957","9.10","9.09","25.5","21 m -   47 m","0"
"(2022 TV)","2022-Oct-08 13:07 ±    00:05","2401755","2376764","18.61","18.60","26.6","13 m -   29 m","0"
"(2022 TR)","2022-Oct-08 14:29 ± < 00:01","1536371","1532130","11.65","11.63","27.4","8.6 m -   19 m","0"
"(2022 SU21)","2022-Oct-08 20:15 ± < 00:01","1224096","1221470","19.93","19.91","24.5","33 m -   74 m","1"
"(2022 UB3)","2022-Oct-09 06:19 ± < 00:01","6475087","6470112","8.51","8.50","23.9","43 m -   97 m","0"
"(2022 SB29)","2022-Oct-09 06:47 ± < 00:01","1741260","1732466","7.57","7.54","26.9","11 m -   24 m","0"
"(2022 UL3)","2022-Oct-09 10:01 ±    00:03","5316664","5284516","10.39","10.39","26.3","15 m -   33 m","0"
"(2022 UP7)","2022-Oct-09 10:20 ±    00:11","5848520","5826148","1.61","1.57","26.9","11 m -   25 m","0"
"(2022 SV11)","2022-Oct-09 13:12 ± < 00:01","6560098","6527414","14.38","14.38","25.1","26 m -   58 m","0"
"(2022 UK6)","2022-Oct-10 08:27 ±    00:23","3488755","3460659","12.10","12.09","26.8","11 m -   26 m","0"
"(2022 SE10)","2022-Oct-10 12:53 ± < 00:01","2101854","2098103","10.86","10.85","25.5","21 m -   48 m","0"
"(2022 TS)","2022-Oct-10 13:52 ± < 00:01","886142","877629","16.62","16.59","27.1","10 m -   23 m","0"
"(2022 UA4)","2022-Oct-10 16:55 ±    00:25","5086559","4959187","14.50","14.50","26.1","16 m -   36 m","0"
"(2022 UJ2)","2022-Oct-11 02:46 ±    00:01","5108957","5056762","11.25","11.24","25.6","20 m -   44 m","0"
"(2022 TR5)","2022-Oct-11 05:00 ± < 00:01","1357791","1353249","12.16","12.14","24.9","28 m -   62 m","1"
